name,at,user_class,subcription_during_event,custom_answer_was,custom_question_marked_as
Tagged Practice Question,2022-12-12T23:29:14,fnp_testprep,,incorrect,
Used Content Credit,2022-12-12T19:09:51,fnp_testprep,3  (1226),,
Answered Practice Question,2022-12-12T19:09:51,fnp_testprep,3  (1226),incorrect,
Tagged Practice Question,2022-12-12T19:09:06,fnp_testprep,3  (1226),correct,
Used Content Credit,2022-12-12T19:06:27,fnp_testprep,3  (1226),,
Answered Practice Question,2022-12-12T19:06:27,fnp_testprep,3  (1226),correct,
Tagged Practice Question,2022-12-12T19:05:13,fnp_testprep,3  (1226),incorrect,
Answered Practice Question,2022-12-12T19:02:17,fnp_testprep,3  (1226),incorrect,
Used Content Credit,2022-12-12T19:02:17,fnp_testprep,3  (1226),,
Tagged Practice Question,2022-12-12T19:00:52,fnp_testprep,3  (1226),incorrect,
Performed Background Fetch,2022-12-12T15:17:13,fnp_testprep,3  (1226),,
Answered Practice Question,2022-12-12T11:59:16,fnp_testprep,3  (1226),incorrect,
Viewed Streak Animation,2022-12-12T11:58:10,fnp_testprep,3  (1226),,
Tagged Practice Question,2022-12-12T11:58:10,fnp_testprep,3  (1226),correct,
Answered Practice Question,2022-12-12T11:56:22,fnp_testprep,3  (1226),correct,
Performed Background Fetch,2022-12-12T10:45:22,fnp_testprep,3  (1226),,
Answered Practice Question,2022-12-12T09:03:29,fnp_testprep,3  (1226),incorrect,
Tapped On Home Cell,2022-12-12T08:04:59,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-12T08:04:52,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-12T08:04:52,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-12T08:04:52,fnp_testprep,3  (1226),,
iRate - Rating Dialog displayed,2022-12-12T08:04:45,fnp_testprep,3  (1226),,
Selected Nav Item,2022-12-12T08:04:45,fnp_testprep,3  (1226),,
iRate - User asked to be reminded later to rate app,2022-12-12T08:04:45,fnp_testprep,3  (1226),,
Notifications Enabled,2022-12-12T08:04:44,fnp_testprep,3  (1226),,
Notifications Enabled,2022-12-12T08:04:44,fnp_testprep,3  (1226),,
Awarded Content Credits,2022-12-12T08:04:44,fnp_testprep,3  (1226),,
Performed Background Fetch,2022-12-11T10:53:14,fnp_testprep,3  (1226),,
Answered Practice Question,2022-12-11T08:57:09,fnp_testprep,3  (1226),incorrect,
Tagged Practice Question,2022-12-11T08:56:15,fnp_testprep,3  (1226),incorrect,
Answered Practice Question,2022-12-11T08:55:27,fnp_testprep,3  (1226),incorrect,
Tagged Practice Question,2022-12-11T08:54:29,fnp_testprep,3  (1226),correct,
Answered Practice Question,2022-12-11T08:53:15,fnp_testprep,3  (1226),correct,
Tagged Practice Question,2022-12-11T08:52:55,fnp_testprep,3  (1226),correct,
Answered Practice Question,2022-12-11T08:51:54,fnp_testprep,3  (1226),correct,
Tagged Practice Question,2022-12-11T08:51:31,fnp_testprep,3  (1226),correct,
Answered Practice Question,2022-12-11T08:50:44,fnp_testprep,3  (1226),correct,
Viewed Streak Animation,2022-12-11T08:50:24,fnp_testprep,3  (1226),,
Tagged Practice Question,2022-12-11T08:50:24,fnp_testprep,3  (1226),incorrect,
Answered Practice Question,2022-12-11T08:37:30,fnp_testprep,3  (1226),incorrect,
Adjusted Date Picker in Today Widget,2022-12-11T08:35:11,fnp_testprep,3  (1226),,
Started Practice Questions From Today Widget,2022-12-11T08:35:11,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-11T08:35:10,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-11T08:35:10,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-11T08:35:10,fnp_testprep,3  (1226),,
Received Message,2022-12-11T08:34:54,fnp_testprep,3  (1226),,
Notifications Enabled,2022-12-11T08:34:53,fnp_testprep,3  (1226),,
Notifications Enabled,2022-12-11T08:34:53,fnp_testprep,3  (1226),,
Selected Nav Item,2022-12-11T08:34:53,fnp_testprep,3  (1226),,
Awarded Content Credits,2022-12-11T08:34:53,fnp_testprep,3  (1226),,
Performed Background Fetch,2022-12-11T01:10:20,fnp_testprep,3  (1226),,
Answered Practice Question,2022-12-10T17:28:02,fnp_testprep,3  (1226),correct,
